event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2024-11-01T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,OCT,12K,223K,113K,180.0K,®,3,
2024-11-01T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,OCT,4.1%,4.1%,4.1%,4.2%,,3,
2024-11-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,OCT,46.5,47.2,47.6,47.5,,3,
2024-11-05T11:00:00-05:00,United States,ISM Services PMI,non manufacturing pmi,OCT,56,54.9,53.8,54.8,,3,
Tuesday November 05 2024,United States,Presidential Election,calendar,,,,,,,3,
2024-11-07T15:00:00-05:00,United States,Fed Interest Rate Decision,interest rate,,4.75%,5%,4.75%,4.75%,,3,
2024-11-07T15:30:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2024-11-08T11:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,NOV,73.0,70.5,71,70.6,,3,
2024-11-13T09:30:00-05:00,United States,Core Inflation Rate MoM,core inflation rate mom,OCT,0.3%,0.3%,0.3%,0.3%,,3,
2024-11-13T09:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,OCT,3.3%,3.3%,3.3%,3.3%,,3,
2024-11-13T09:30:00-05:00,United States,Inflation Rate MoM,inflation rate mom,OCT,0.2%,0.2%,0.2%,0.2%,,3,
2024-11-13T09:30:00-05:00,United States,Inflation Rate YoY,inflation rate,OCT,2.6%,2.4%,2.6%,2.6%,,3,
2024-11-14T09:30:00-05:00,United States,PPI MoM,producer price inflation mom,OCT,0.2%,0.1%,0.2%,0.2%,®,3,
2024-11-14T16:00:00-05:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2024-11-15T09:30:00-05:00,United States,Retail Sales MoM,retail sales mom,OCT,0.4%,0.8%,0.3%,0.3%,®,3,
2024-11-19T09:30:00-05:00,United States,Building Permits Prel,building permits,OCT,1.416M,1.425M,1.43M,1.46M,,3,
2024-11-26T15:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2024-11-27T09:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,OCT,0.2%,-0.4%,0.5%,0.3%,®,3,
2024-11-27T09:30:00-05:00,United States,GDP Growth Rate QoQ 2nd Est,gdp growth rate,Q3,2.8%,3%,2.8%,2.8%,,3,
2024-11-27T11:00:00-05:00,United States,Core PCE Price Index MoM,core pce price index mom,OCT,0.3%,0.3%,0.3%,0.3%,,3,
2024-11-27T11:00:00-05:00,United States,Personal Income MoM,personal income,OCT,0.6%,0.3%,0.3%,0.3%,,3,
2024-11-27T11:00:00-05:00,United States,Personal Spending MoM,personal spending,OCT,0.4%,0.6%,0.3%,0.4%,®,3,
