event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2022-06-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAY,56.1,55.4,54.5,54.8,,3,
2022-06-01T10:00:00-04:00,United States,JOLTs Job Openings,job offers,APR,11.4M,11.855M,11.4M,11.4M,®,3,
2022-06-03T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAY,390K,436K,325K,320K,®,3,
2022-06-03T10:00:00-04:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,MAY,55.9,57.1,56.4,55,,3,
2022-06-07T08:30:00-04:00,United States,Balance of Trade,balance of trade,APR,$-87.1B,$-107.7B,$-89.5B,$-91B,®,3,
2022-06-10T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAY,6%,6.2%,5.9%,6%,,3,
2022-06-10T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAY,8.6%,8.3%,8.3%,8.3%,,3,
2022-06-10T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JUN,50.2,58.4,58,59,,3,
2022-06-14T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,MAY,0.8%,0.4%,0.8%,0.7%,®,3,
2022-06-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAY,-0.3%,0.7%,0.2%,0.3%,®,3,
2022-06-15T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2022-06-16T08:30:00-04:00,United States,Building Permits,building permits,MAY,1.695M,1.823M,1.785M,1.79M,,3,
2022-06-22T09:30:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,
2022-06-23T10:00:00-04:00,United States,Fed Chair Powell Testimony,interest rate,,,,,,,3,
2022-06-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAY,0.7%,0.4%,0.1%,-0.3%,,3,
2022-06-29T09:00:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2022-06-30T08:30:00-04:00,United States,Personal Income MoM,personal income,MAY,0.5%,0.5%,0.5%,0.3%,®,3,
2022-06-30T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAY,0.2%,0.6%,0.4%,0.8%,®,3,
