event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2021-02-05T08:30:00-05:00,United States,Balance of Trade,balance of trade,DEC,$-66.6B,$-69B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-05T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,JAN,49K,-227K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-10T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,JAN,1.4%,1.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-10T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,JAN,1.4%,1.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-17T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,JAN,5.3%,-1%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-17T14:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-25T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,JAN,3.4%,1.2%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-26T08:30:00-05:00,United States,Personal Income MoM,personal income,JAN,10%,0.6%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
2021-02-26T08:30:00-05:00,United States,Personal Spending MoM,personal spending,JAN,2.4%,-0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-02-01&end=2021-03-01
