event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2021-07-02T08:30:00-04:00,United States,Balance of Trade,balance of trade,MAY,$-71.2B,$-69.1B,$-71.4B,$-71.6B,®,3,
2021-07-02T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,JUN,850K,583K,700K,650K,®,3,
2021-07-07T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2021-07-13T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,JUN,4.5%,3.8%,4%,3.9%,,3,
2021-07-13T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,JUN,5.4%,5%,4.9%,4.9%,,3,
2021-07-16T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,JUN,0.6%,-1.7%,-0.4%,-0.5%,®,3,
2021-07-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,JUN,0.8%,3.2%,2.1%,1.9%,®,3,
2021-07-28T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2021-07-30T08:30:00-04:00,United States,Personal Income MoM,personal income,JUN,0.1%,-2.2%,-0.3%,-0.3%,®,3,
2021-07-30T08:30:00-04:00,United States,Personal Spending MoM,personal spending,JUN,1%,-0.1%,0.7%,0.5%,®,3,
