event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2022-07-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,JUN,53,56.1,54.9,55,,3,
2022-07-06T10:00:00-04:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,JUN,55.3,55.9,54.3,55.2,,3,
2022-07-06T10:00:00-04:00,United States,JOLTs Job Openings,job offers,MAY,11.254M,11.681M,11M,11.3M,®,3,
2022-07-06T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2022-07-07T08:30:00-04:00,United States,Balance of Trade,balance of trade,MAY,$-85.5B,$-86.7B,$-84.9B,$-86B,®,3,
2022-07-08T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,JUN,372K,384K,268K,300K,®,3,
2022-07-13T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,JUN,5.9%,6%,5.7%,5.8%,,3,
2022-07-13T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,JUN,9.1%,8.6%,8.8%,8.8%,,3,
2022-07-14T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,JUN,1.1%,0.9%,0.8%,0.9%,®,3,
2022-07-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,JUN,1%,-0.1%,0.8%,0.5%,®,3,
2022-07-15T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JUL,51.1,50,49.9,49.3,,3,
2022-07-19T08:30:00-04:00,United States,Building Permits,building permits,JUN,1.685M,1.695M,1.65M,1.68M,,3,
2022-07-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,JUN,1.9%,0.8%,-0.5%,-0.3%,®,3,
2022-07-27T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2022-07-29T08:30:00-04:00,United States,Personal Income MoM,personal income,JUN,0.6%,0.6%,0.5%,0.5%,®,3,
2022-07-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,JUN,1.1%,0.3%,0.9%,0.6%,®,3,
