event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2021-10-01T08:30:00-04:00,United States,Personal Income MoM,personal income,AUG,0.2%,1.1%,0.3%,0.2%,,3,
2021-10-01T08:30:00-04:00,United States,Personal Spending MoM,personal spending,AUG,0.8%,-0.1%,0.6%,0.3%,®,3,
2021-10-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,SEP,61.1,59.9,59.6,59,,3,
2021-10-05T08:30:00-04:00,United States,Balance of Trade,balance of trade,AUG,$-73.3B,$-70.3B,$-70.5B,$-70.8B,®,3,
2021-10-08T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,SEP,194K,366K,500K,475K,®,3,
2021-10-12T10:00:00-04:00,United States,JOLTs Job Openings,job offers,AUG,10.439M,11.098M,10.925M,10.8M,®,3,
2021-10-13T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,SEP,4%,4%,4%,4%,,3,
2021-10-13T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,SEP,5.4%,5.3%,5.3%,5.3%,,3,
2021-10-13T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2021-10-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,SEP,0.7%,0.9%,-0.2%,-0.1%,®,3,
2021-10-15T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,OCT,71.4,72.8,73.1,75,,3,
2021-10-19T08:30:00-04:00,United States,Building Permits,building permits,SEP,1.589M,1.721M,1.68M,1.69M,,3,
2021-10-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,SEP,-0.4%,1.3%,-1.1%,-0.8%,®,3,
2021-10-29T08:30:00-04:00,United States,Personal Income MoM,personal income,SEP,-1%,0.2%,-0.2%,0.2%,,3,
2021-10-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,SEP,0.6%,1%,0.5%,0.6%,®,3,
