event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2021-01-07T08:30:00-05:00,United States,Balance of Trade,balance of trade,NOV,$-68.1B,$-63.1B,$-65.2B,$-67.6B,,3,
2021-01-08T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,DEC,-140K,336K,71K,112K,®,3,
2021-01-13T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,DEC,1.6%,1.6%,1.6%,1.6%,,3,
2021-01-13T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,DEC,1.4%,1.2%,1.3%,1.2%,,3,
2021-01-15T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,DEC,-0.7%,-1.4%,0%,-0.2%,®,3,
2021-01-19T10:00:00-05:00,United States,Treasury Secretary Yellen Senate Confirmation Hearing,calendar,,,,,,,3,
2021-01-27T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,DEC,0.2%,1.2%,0.9%,0.8%,®,3,
2021-01-27T14:30:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2021-01-29T08:30:00-05:00,United States,Personal Income MoM,personal income,DEC,0.6%,-1.3%,0.1%,0.1%,®,3,
2021-01-29T08:30:00-05:00,United States,Personal Spending MoM,personal spending,DEC,-0.2%,-0.7%,-0.4%,-0.6%,®,3,
