event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2018-05-03T08:30:00-04:00,United States,Balance of Trade,balance of trade,MAR,$-49B,$-57.7B,,,®,3,
2018-05-04T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,APR,164K,135K,,,®,3,
2018-05-10T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,APR,2.1%,2.1%,,,,3,
2018-05-10T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,APR,2.5%,2.4%,,,,3,
2018-05-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,APR,0.3%,0.8%,,,®,3,
2018-05-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,APR,-1.7%,2.7%,,,®,3,
2018-05-31T08:30:00-04:00,United States,Personal Income MoM,personal income,APR,0.3%,0.2%,,,®,3,
2018-05-31T08:30:00-04:00,United States,Personal Spending MoM,personal spending,APR,0.6%,0.5%,,,®,3,
