event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2018-02-02T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,JAN,200K,160K,,,®,3,
2018-02-06T08:30:00-05:00,United States,Balance of Trade,balance of trade,DEC,$-53.1B,$-50.4B,,,®,3,
2018-02-14T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,JAN,1.8%,1.8%,,,,3,
2018-02-14T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,JAN,2.1%,2.1%,,,,3,
2018-02-14T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,JAN,-0.3%,0%,,,®,3,
2018-02-27T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,JAN,-3.7%,2.6%,,,®,3,
