event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2026-07-01T05:30:00-04:00,United States,Challenger Job Cuts,challenger job cuts,JUN,,97.006K,,,,3,
2026-07-01T07:00:00-04:00,United States,MBA 30-Year Mortgage Rate,mortgage rate,JUN/26,,,,,,3,
2026-07-01T07:00:00-04:00,United States,MBA Mortgage Applications,mortgage applications,JUN/26,,,,,,3,
2026-07-01T07:00:00-04:00,United States,MBA Mortgage Market Index,mba mortgage market index,JUN/26,,,,,,3,
2026-07-01T07:00:00-04:00,United States,MBA Mortgage Refinance Index,mba mortgage refinance index,JUN/26,,,,,,3,
2026-07-01T07:00:00-04:00,United States,MBA Purchase Index,mba purchase index,JUN/26,,,,,,3,
2026-07-01T08:15:00-04:00,United States,ADP Employment Change,adp employment change,JUN,,122K,,,,3,
2026-07-01T09:45:00-04:00,United States,S&P Global Manufacturing PMI Final,manufacturing pmi,JUN,,55.1,,,,3,
2026-07-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,JUN,,54.0,,,,3,
2026-07-01T10:00:00-04:00,United States,ISM Manufacturing Employment,ism manufacturing employment,JUN,,48.6,,,,3,
2026-07-01T10:00:00-04:00,United States,Construction Spending MoM,construction spending,MAY,,0.4%,,,,3,
2026-07-01T10:00:00-04:00,United States,ISM Manufacturing New Orders,ism manufacturing new orders,JUN,,56.8,,,,3,
2026-07-01T10:00:00-04:00,United States,ISM Manufacturing Prices,ism manufacturing prices,JUN,,82.1,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Crude Oil Stocks Change,crude oil stocks change,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Gasoline Stocks Change,gasoline stocks change,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Crude Oil Imports Change,crude oil imports,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Cushing Crude Oil Stocks Change,cushing crude oil stocks,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Distillate Fuel Production Change,distillate fuel production,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Distillate Stocks Change,distillate stocks,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Gasoline Production Change,gasoline production,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Heating Oil Stocks Change,heating oil stocks,JUN/26,,,,,,3,
2026-07-01T10:30:00-04:00,United States,EIA Refinery Crude Runs Change,refinery crude runs,JUN/26,,,,,,3,
2026-07-01T11:30:00-04:00,United States,17-Week Bill Auction,17 week bill yield,,,,,,,3,
2026-07-02T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,JUN,,172K,,,,3,
2026-07-02T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,JUN,,4.3%,,,,3,
2026-07-02T08:30:00-04:00,United States,Average Hourly Earnings MoM,average hourly earnings,JUN,,0.3%,,,,3,
2026-07-02T08:30:00-04:00,United States,Average Hourly Earnings YoY,average hourly earnings yoy,JUN,,3.4%,,,,3,
2026-07-02T08:30:00-04:00,United States,Initial Jobless Claims,initial jobless claims,JUN/27,,,,,,3,
2026-07-02T08:30:00-04:00,United States,Participation Rate,labor force participation rate,JUN,,61.8%,,,,3,
2026-07-02T08:30:00-04:00,United States,Average Weekly Hours,average weekly hours,JUN,,34.3,,,,3,
2026-07-02T08:30:00-04:00,United States,Continuing Jobless Claims,continuing jobless claims,JUN/20,,,,,,3,
2026-07-02T08:30:00-04:00,United States,Government Payrolls,government payrolls,JUN,,52K,,,,3,
2026-07-02T08:30:00-04:00,United States,Jobless Claims 4-week Average,jobless claims 4-week average,JUN/27,,,,,,3,
2026-07-02T08:30:00-04:00,United States,Manufacturing Payrolls,manufacturing payrolls,JUN,,7K,,,,3,
2026-07-02T08:30:00-04:00,United States,Nonfarm Payrolls Private,nonfarm payrolls private,JUN,,120K,,,,3,
2026-07-02T08:30:00-04:00,United States,U-6 Unemployment Rate,u6 unemployment rate,JUN,,8.1%,,,,3,
2026-07-02T10:00:00-04:00,United States,Factory Orders MoM,factory orders,MAY,,4.8%,,,,3,
2026-07-02T10:00:00-04:00,United States,Factory Orders ex Transportation,factory orders ex transportation,MAY,,1.3%,,,,3,
2026-07-02T10:30:00-04:00,United States,EIA Natural Gas Stocks Change,natural gas stocks change,JUN/26,,,,,,3,
2026-07-02T11:30:00-04:00,United States,4-Week Bill Auction,4 week bill yield,,,,,,,3,
2026-07-02T11:30:00-04:00,United States,8-Week Bill Auction,8 week bill yield,,,,,,,3,
2026-07-02T12:00:00-04:00,United States,15-Year Mortgage Rate,15 year mortgage rate,JUL/02,,,,,,3,
2026-07-02T12:00:00-04:00,United States,30-Year Mortgage Rate,30 year mortgage rate,JUL/02,,,,,,3,
2026-07-02T16:30:00-04:00,United States,Fed Balance Sheet,central bank balance sheet,JUL/01,,,,,,3,
Thursday July 02 2026,United States,Total Vehicle Sales,total vehicle sales,JUN,,16.1M,,,,3,
2026-07-03T13:00:00-04:00,United States,Baker Hughes Oil Rig Count,crude oil rigs,JUL/03,,,,,,3,
2026-07-03T13:00:00-04:00,United States,Baker Hughes Total Rigs Count,total rigs,JUL/03,,,,,,3,
2026-07-06T09:45:00-04:00,United States,S&P Global Composite PMI Final,composite pmi,JUN,,51.5,,,,3,
2026-07-06T09:45:00-04:00,United States,S&P Global Services PMI Final,services pmi,JUN,,50.7,,,,3,
2026-07-06T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,JUN,,54.5,,,,3,
2026-07-06T10:00:00-04:00,United States,ISM Services Business Activity,ism non manufacturing business activity,JUN,,57.7,,,,3,
2026-07-06T10:00:00-04:00,United States,ISM Services Employment,ism non manufacturing employment,JUN,,47.9,,,,3,
2026-07-06T10:00:00-04:00,United States,ISM Services New Orders,ism non manufacturing new orders,JUN,,57.3,,,,3,
2026-07-06T10:00:00-04:00,United States,ISM Services Prices,ism non manufacturing prices,JUN,,71.3,,,,3,
2026-07-06T11:30:00-04:00,United States,3-Month Bill Auction,3 month bill yield,,,,,,,3,
2026-07-06T11:30:00-04:00,United States,6-Month Bill Auction,6 month bill yield,,,,,,,3,
2026-07-07T06:00:00-04:00,United States,LMI Logistics Managers Index,lmi logistics managers index,JUN,,69.5,,,,3,
2026-07-07T08:15:00-04:00,United States,ADP Employment Change Weekly,adp employment change weekly,,,,,,,3,
2026-07-07T08:30:00-04:00,United States,Balance of Trade,balance of trade,MAY,,$-55.9B,,,,3,
2026-07-07T08:30:00-04:00,United States,Exports,exports,MAY,,$327.1B,,,,3,
2026-07-07T08:30:00-04:00,United States,Imports,imports,MAY,,$383.0B,,,,3,
2026-07-07T08:55:00-04:00,United States,Redbook YoY,redbook index,JUL/04,,,,,,3,
2026-07-07T10:00:00-04:00,United States,RCM/TIPP Economic Optimism Index,economic optimism index,JUL,,42.5,,,,3,
2026-07-07T11:00:00-04:00,United States,Consumer Inflation Expectations,inflation expectations,JUN,,3.5%,,,,3,
